Vị trí lá bài,Mã lá bài,Xác suất xuất hiện,Tìm được cặp (True/False)
1,4,0.1,False
2,2,0.1,False
3,1,0.1,False
4,5,0.1,False
5,5,0.1,False
6,2,0.1,False
6,2,0.1,False
3,1,0.1,False
0,4,0.1,False
3,1,0.1,False
1,4,0.1,False
6,2,0.1,False
6,2,0.1,False
0,4,0.1,False
5,5,0.1,False
0,4,0.1,False
9,3,0.1,False
8,1,0.1,False
6,2,0.1,False
4,5,0.1,False
2,2,0.1,False
1,4,0.1,False
3,1,0.1,False
4,5,0.1,False
1,4,0.1,False
3,1,0.1,False
5,5,0.1,False
7,3,0.1,False
0,4,0.1,False
9,3,0.1,False
8,1,0.1,True
3,1,0.1,True
2,2,0.1,False
7,3,0.1,False
6,2,0.1,False
1,4,0.1,False
9,3,0.1,False
5,5,0.1,False
5,5,0.1,False
6,2,0.1,False
7,3,0.1,False
6,2,0.1,False
5,5,0.1,True
4,5,0.1,True
6,2,0.1,False
7,3,0.1,False
0,4,0.1,False
2,2,0.1,False
1,4,0.1,True
0,4,0.1,True
9,3,0.1,True
7,3,0.1,True
2,2,0.1,True
6,2,0.1,True
